,0
953,0.0
954,0.75
955,0.64285713
956,0.4642857
957,1.1428572
958,1.3214285
959,4.071429
960,0.21428572
961,1.3571428
962,0.17857143
963,0.75
964,0.035714287
965,0.035714287
966,3.1510243
967,0.6785714
968,0.42857143
969,3.5
970,0.75
971,0.4642857
972,0.035714287
973,0.035714287
974,0.35714287
975,0.35714287
976,0.10714286
977,0.35714287
978,0.035714287
979,0.071428575
980,0.14285715
981,0.17857143
982,0.0
983,0.10714286
984,0.42857143
985,0.25
986,0.035714287
987,0.53571427
988,0.035714287
989,0.10714286
990,0.14285715
991,0.071428575
992,0.5714286
993,0.8214286
994,0.75
995,1.7142857
996,0.17857143
997,0.035714287
998,0.25
999,0.14285715
1000,0.071428575
1001,0.2857143
1002,1.5357143
1003,0.10714286
1004,0.32142857
1005,1.4642857
1006,0.071428575
1007,0.071428575
1008,0.53571427
1009,0.25
1010,0.035714287
1011,0.071428575
1012,0.0
1013,0.0
1014,0.42857143
1015,0.0
1016,0.10714286
1017,0.071428575
1018,0.035714287
1019,0.0
1020,0.071428575
1021,0.10714286
1022,0.0
1023,0.42857143
1024,0.0
1025,0.071428575
1026,0.035714287
1027,0.035714287
1028,0.035714287
1029,0.035714287
1030,0.0
1031,0.0
1032,0.0
1033,0.035714287
1034,0.0
1035,0.035714287
1036,0.0
1037,0.0
1038,0.035714287
1039,0.0
1040,0.0
1041,0.035714287
1042,0.0
1043,0.0
1044,6.464286
1045,3.392857
1046,0.071428575
1047,0.6785714
1048,0.39285713
1049,0.6785714
1050,0.5
1051,0.5
1052,0.78571427
1053,1.8214285
1054,0.25
1055,0.035714287
1056,2.3300967
1057,0.71428573
1058,0.35714287
1059,1.4642857
1060,0.071428575
1061,1.2142857
1062,0.8214286
1063,0.17857143
1064,1.3571428
1065,1.4562501
1066,0.25
1067,0.8214286
1068,0.60714287
1069,1.6428572
1070,0.35714287
1071,0.32142857
1072,0.071428575
1073,0.2857143
1074,2.392857
1075,1.6071428
1076,0.10714286
1077,1.3571428
1078,0.17857143
1079,0.14285715
1080,1.7857143
1081,0.25
1082,0.2857143
1083,1.7146904
1084,0.14285715
1085,1.8928572
1086,0.39285713
1087,0.4642857
1088,0.75
1089,0.10714286
1090,0.071428575
1091,0.0
1092,1.5
1093,1.75
1094,0.10714286
1095,0.6785714
1096,0.16052541
1097,0.78571427
1098,0.035714287
1099,0.0
1100,0.035714287
1101,0.071428575
1102,0.0
1103,0.035714287
1104,0.035714287
1105,0.071428575
1106,0.0
1107,0.035714287
1108,0.0
1109,0.0
1110,0.071428575
1111,0.035714287
1112,0.035714287
1113,0.035714287
1114,0.0
1115,0.0
1116,0.0
1117,0.0
1118,0.0
1119,0.035714287
1120,0.0
1121,0.035714287
1122,0.0
1123,0.0
1124,0.0
1125,0.071428575
1126,0.0
1127,0.0
1128,0.0
1129,0.0
1130,0.0
1131,0.035714287
1132,0.0
1133,0.0
1134,0.035714287
1135,0.035714287
1136,0.035714287
1137,0.0
1138,0.0
1139,0.0
1140,0.0
1141,0.10714286
1142,0.0
1143,0.0
1144,0.0
1145,0.0
1146,0.071428575
1147,0.0
1148,0.0
1149,0.0
1150,0.0
1151,0.0
